timestamp,value,classification,date
1545283800,27,Fear,1970-01-01
1545370200,35,Fear,1970-01-01
1545456600,28,Fear,1970-01-01
1545543000,31,Fear,1970-01-01
1545629400,25,Fear,1970-01-01
1545715800,33,Fear,1970-01-01
1545802200,26,Fear,1970-01-01
1545888600,29,Fear,1970-01-01
1545975000,21,Extreme Fear,1970-01-01
1546061400,24,Extreme Fear,1970-01-01
1546147800,23,Extreme Fear,1970-01-01
1546234200,26,Fear,1970-01-01
1546320600,24,Extreme Fear,1970-01-01
1546407000,30,Fear,1970-01-01
1546493400,33,Fear,1970-01-01
1546579800,48,Neutral,1970-01-01
1546666200,36,Fear,1970-01-01
1546752600,31,Fear,1970-01-01
1546839000,39,Fear,1970-01-01
1546925400,39,Fear,1970-01-01
1547011800,42,Fear,1970-01-01
1547098200,37,Fear,1970-01-01
1547184600,19,Extreme Fear,1970-01-01
1547271000,22,Extreme Fear,1970-01-01
1547357400,21,Extreme Fear,1970-01-01
1547443800,16,Extreme Fear,1970-01-01
1547530200,27,Fear,1970-01-01
1547616600,24,Extreme Fear,1970-01-01
1547703000,28,Fear,1970-01-01
1547789400,29,Fear,1970-01-01
1547875800,31,Fear,1970-01-01
1547962200,35,Fear,1970-01-01
1548048600,30,Fear,1970-01-01
1548135000,27,Fear,1970-01-01
1548221400,33,Fear,1970-01-01
1548307800,37,Fear,1970-01-01
1548394200,35,Fear,1970-01-01
1548480600,41,Fear,1970-01-01
1548567000,39,Fear,1970-01-01
1548653400,35,Fear,1970-01-01
1548739800,21,Extreme Fear,1970-01-01
1548826200,22,Extreme Fear,1970-01-01
1548912600,17,Extreme Fear,1970-01-01
1548999000,23,Extreme Fear,1970-01-01
1549085400,22,Extreme Fear,1970-01-01
1549171800,19,Extreme Fear,1970-01-01
1549258200,27,Fear,1970-01-01
1549344600,21,Extreme Fear,1970-01-01
1549431000,14,Extreme Fear,1970-01-01
1549517400,18,Extreme Fear,1970-01-01
1549603800,37,Fear,1970-01-01
1549690200,42,Fear,1970-01-01
1549776600,40,Fear,1970-01-01
1549863000,46,Neutral,1970-01-01
1549949400,38,Fear,1970-01-01
1550035800,48,Neutral,1970-01-01
1550122200,48,Neutral,1970-01-01
1550208600,43,Fear,1970-01-01
1550295000,43,Fear,1970-01-01
1550381400,38,Fear,1970-01-01
1550467800,63,Greed,1970-01-01
1550554200,65,Greed,1970-01-01
1550640600,59,Greed,1970-01-01
1550727000,59,Greed,1970-01-01
1550813400,61,Greed,1970-01-01
1550899800,63,Greed,1970-01-01
1550986200,69,Greed,1970-01-01
1551072600,47,Neutral,1970-01-01
1551159000,40,Fear,1970-01-01
1551245400,39,Fear,1970-01-01
1551331800,39,Fear,1970-01-01
1551418200,42,Fear,1970-01-01
1551504600,41,Fear,1970-01-01
1551591000,44,Fear,1970-01-01
1551677400,36,Fear,1970-01-01
1551763800,35,Fear,1970-01-01
1551850200,42,Fear,1970-01-01
1551936600,56,Greed,1970-01-01
1552023000,54,Neutral,1970-01-01
1552109400,55,Greed,1970-01-01
1552195800,55,Greed,1970-01-01
1552282200,56,Greed,1970-01-01
1552368600,56,Greed,1970-01-01
1552455000,54,Neutral,1970-01-01
1552541400,55,Greed,1970-01-01
1552627800,55,Greed,1970-01-01
1552714200,54,Neutral,1970-01-01
1552800600,58,Greed,1970-01-01
1552887000,56,Greed,1970-01-01
1552973400,56,Greed,1970-01-01
1553059800,55,Greed,1970-01-01
1553146200,62,Greed,1970-01-01
1553232600,56,Greed,1970-01-01
1553319000,50,Neutral,1970-01-01
1553405400,44,Fear,1970-01-01
1553491800,46,Neutral,1970-01-01
1553578200,43,Fear,1970-01-01
1553664600,44,Fear,1970-01-01
1553751000,49,Neutral,1970-01-01
1553837400,50,Neutral,1970-01-01
1553923800,57,Greed,1970-01-01
1554010200,56,Greed,1970-01-01
1554096600,62,Greed,1970-01-01
1554183000,60,Greed,1970-01-01
1554269400,71,Greed,1970-01-01
1554355800,61,Greed,1970-01-01
1554442200,59,Greed,1970-01-01
1554528600,65,Greed,1970-01-01
1554615000,69,Greed,1970-01-01
1554701400,65,Greed,1970-01-01
1554787800,64,Greed,1970-01-01
1554874200,62,Greed,1970-01-01
1554960600,65,Greed,1970-01-01
1555047000,42,Fear,1970-01-01
1555133400,62,Greed,1970-01-01
1555219800,51,Neutral,1970-01-01
1555306200,60,Greed,1970-01-01
1555392600,50,Neutral,1970-01-01
1555479000,61,Greed,1970-01-01
1555565400,64,Greed,1970-01-01
1555651800,61,Greed,1970-01-01
1555738200,62,Greed,1970-01-01
1555824600,62,Greed,1970-01-01
1555911000,61,Greed,1970-01-01
1555997400,68,Greed,1970-01-01
1556083800,65,Greed,1970-01-01
1556170200,58,Greed,1970-01-01
1556256600,41,Fear,1970-01-01
1556343000,42,Fear,1970-01-01
1556429400,40,Fear,1970-01-01
1556515800,42,Fear,1970-01-01
1556602200,42,Fear,1970-01-01
1556688600,51,Neutral,1970-01-01
1556775000,50,Neutral,1970-01-01
1556861400,63,Greed,1970-01-01
1556947800,66,Greed,1970-01-01
1557034200,67,Greed,1970-01-01
1557120600,57,Greed,1970-01-01
1557207000,69,Greed,1970-01-01
1557293400,63,Greed,1970-01-01
1557379800,69,Greed,1970-01-01
1557466200,71,Greed,1970-01-01
1557552600,76,Extreme Greed,1970-01-01
1557639000,75,Extreme Greed,1970-01-01
1557725400,78,Extreme Greed,1970-01-01
1557811800,78,Extreme Greed,1970-01-01
1557898200,77,Extreme Greed,1970-01-01
1557984600,75,Extreme Greed,1970-01-01
1558071000,65,Greed,1970-01-01
1558157400,67,Greed,1970-01-01
1558243800,70,Greed,1970-01-01
1558330200,73,Greed,1970-01-01
1558416600,68,Greed,1970-01-01
1558503000,69,Greed,1970-01-01
1558589400,65,Greed,1970-01-01
1558675800,64,Greed,1970-01-01
1558762200,69,Greed,1970-01-01
1558848600,67,Greed,1970-01-01
1558935000,70,Greed,1970-01-01
1559021400,71,Greed,1970-01-01
1559107800,71,Greed,1970-01-01
1559194200,73,Greed,1970-01-01
